id,title,title_url,tmdb_poster_path,tmdb_backdrop_path
24428,"The Avengers",the_avengers,/cezWGskPY5x7GaglTTRN4Fugfb8.jpg,/cezWGskPY5x7GaglTTRN4Fugfb8.jpg
27205,Inception,inception,/qmDpIHrmpJINaRKAfWQfftjCdyi.jpg,/qmDpIHrmpJINaRKAfWQfftjCdyi.jpg
102899,Ant-Man,antman,/D6e8RJf2qUstnfkTslTXNTUAlT.jpg,/D6e8RJf2qUstnfkTslTXNTUAlT.jpg
118340,"Guardians of the Galaxy",guardians_of_the_galaxy,/y31QB9kn3XSudA15tV7UWQ9XLuW.jpg,/y31QB9kn3XSudA15tV7UWQ9XLuW.jpg
122917,"The Hobbit: The Battle of the Five Armies",the_hobbit_the_battle_of_the_five_armies,/9zRzFJuaj0CHIOhAkcCcFTvyu2X.jpg,/9zRzFJuaj0CHIOhAkcCcFTvyu2X.jpg
141052,"Justice League",justice_league,/eifGNCSDuxJeS1loAXil5bIGgvC.jpg,/eifGNCSDuxJeS1loAXil5bIGgvC.jpg
157336,Interstellar,interstellar,/nBNZadXqJSdt05SHLqgT0HuC5Gm.jpg,/nBNZadXqJSdt05SHLqgT0HuC5Gm.jpg
169917,"A Walk Among the Tombstones",a_walk_among_the_tombstones,/xxe77USOk2tPnq7G4cL42gf1OxQ.jpg,/xxe77USOk2tPnq7G4cL42gf1OxQ.jpg
181808,"Star Wars: The Last Jedi",star_wars_the_last_jedi,/kOVEVeg59E0wsnXmF9nrh6OmWII.jpg,/kOVEVeg59E0wsnXmF9nrh6OmWII.jpg
245891,"John Wick",john_wick,/5vHssUeVe25bMrof1HyaPyWgaP.jpg,/5vHssUeVe25bMrof1HyaPyWgaP.jpg
260513,"Incredibles 2",incredibles_2,/9lFKBtaVIhP7E2Pk0IY1CwTKTMZ.jpg,/9lFKBtaVIhP7E2Pk0IY1CwTKTMZ.jpg
263115,Logan,logan,/gGBu0hKw9BGddG8RkRAMX7B6NDB.jpg,/gGBu0hKw9BGddG8RkRAMX7B6NDB.jpg
280217,"The Lego Movie 2: The Second Part",the_lego_movie_2_the_second_part,/QTESAsBVZwjtGJNDP7utiGV37z.jpg,/QTESAsBVZwjtGJNDP7utiGV37z.jpg
284053,"Thor: Ragnarok",thor_ragnarok,/rzRwTcFvttcN1ZpX2xv4j3tSdJu.jpg,/rzRwTcFvttcN1ZpX2xv4j3tSdJu.jpg
284054,"Black Panther",black_panther,/uxzzxijgPIY7slzFvMotPv8wjKA.jpg,/uxzzxijgPIY7slzFvMotPv8wjKA.jpg
297802,Aquaman,aquaman,/5Kg76ldv7VxeX9YlcQXiowHgdX6.jpg,/5Kg76ldv7VxeX9YlcQXiowHgdX6.jpg
299536,"Avengers: Infinity War",avengers_infinity_war,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg
315064,"Animal Crackers",animal_crackers,/4Z80OqqLV9t5bFuE9itUN8YhgFa.jpg,/4Z80OqqLV9t5bFuE9itUN8YhgFa.jpg
